message,label,Extracted URL,Message Len,FQDN,Website Size in KB,Website Textual Content Length,Status Code,Parked
here is my new address -apples&pairs&all that malarky,ham,,53,,,,,
I had a good time too. Its nice to do something a bit different with my weekends for a change. See ya soon,ham,,106,,,,,
", ow u dey.i paid 60,400thousad.i told  u would call . ",ham,,55,,,,,
Not yet. Just i'd like to keep in touch and it will be the easiest way to do that from barcelona. By the way how ru and how is the house?,ham,,137,,,,,
"Yes obviously, but you are the eggs-pert and the potato head… Speak soon! ",ham,,74,,,,,
Does cinema plus drink appeal tomo? * Is a fr thriller by director i like on at mac at 8.30.,ham,,92,,,,,
Okay but i thought you were the expert,ham,,38,,,,,
:) ,ham,,3,,,,,
"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!",ham,,99,,,,,
"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. ",ham,,70,,,,,
I just cooked a rather nice salmon a la you,ham,,43,,,,,
"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u ",ham,,86,,,,,
All sounds good. Fingers . Makes it difficult to type,ham,,53,,,,,
Just hopeing that wasn‘t too pissed up to remember and has gone off to his sisters or something!,ham,,96,,,,,
Can you let me know details of fri when u find out cos I'm not in tom or fri. mentionned chinese. Thanks,ham,,104,,,,,
Sorry . I will be able to get to you. See you in the morning.,ham,,61,,,,,
Okey dokey swashbuckling stuff what oh.,ham,,39,,,,,
"Only just got this message, not ignoring you. Yes, i was. Shopping that is",ham,,74,,,,,
"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!",ham,,92,,,,,
", ,  and  picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || Very easy",ham,,169,,,,,
"Forgot you were working today! Wanna chat, but things are ok so drop me a text when you're free / bored etc and i'll ring. Hope all is well, nose essay and all xx",ham,,162,,,,,
Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!,ham,,191,,,,,
"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over.",ham,,101,,,,,
Erm. I thought the contract ran out the4th of october.,ham,,54,,,,,
Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?,ham,,111,,,,,
Hello- thanx for taking that call. I got a job! Starts on monday!,ham,,65,,,,,
Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! ,ham,,143,,,,,
"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary",ham,,105,,,,,
"Camera quite good, 10.1mega pixels, 3optical and 5digital dooms. Have a lovely holiday, be safe and i hope you hav a good journey! Happy new year to you both! See you in a couple of weeks! ",ham,,189,,,,,
"Hmm ok, i'll stay for like an hour cos my eye is really sore!",ham,,61,,,,,
… and don‘t worry we‘ll have finished by march … ish!,ham,,53,,,,,
Not getting anywhere with this damn job hunting over here!,ham,,58,,,,,
"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?",ham,,136,,,,,
It is a good thing I'm now getting the connection to bw,ham,,55,,,,,
"see you then, we're all christmassy here!",ham,,41,,,,,
I though we shd go out n have some fun so bar in town or something – sound ok?,ham,,78,,,,,
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",ham,,178,,,,,
", im .. On the snowboarding trip. I was wondering if your planning to get everyone together befor we go..a meet and greet kind of affair? Cheers, ",ham,,146,,,,,
"Perhaps * is much easy give your account identification, so i will tomorrow at UNI",ham,,82,,,,,
Nationwide auto centre (or something like that) on Newport road. I liked them there,ham,,83,,,,,
"Just got part Nottingham - 3 hrs 63miles. Good thing i love my man so much, but only doing 40mph. Hey ho",ham,,104,,,,,
Dont flatter yourself... Tell that man of mine two pints of carlin in ten minutes please.... ,ham,,93,,,,,
"My friend, she's studying at warwick, we've planned to go shopping and to concert tmw, but it may be canceled, havn't seen  for ages, yeah we should get together sometime!",ham,,171,,,,,
Men like shorter ladies. Gaze up into his eyes.,ham,,47,,,,,
"Easy mate, * guess the quick drink was bit ambitious.",ham,,53,,,,,
"I av a new number,  . Wil u only use this one,ta.",ham,,49,,,,,
And maybe some pressies,ham,,23,,,,,
"Er, hello, things didn‘t quite go to plan – is limping slowly home followed by aa and with exhaust hanging off",ham,,110,,,,,
Hi its in durban are you still on this number,ham,,45,,,,,
"Ooh, 4got, i'm gonna start belly dancing in moseley weds 6.30 if u want 2 join me, they have a cafe too. ",ham,,105,,,,,
happened here while you were adventuring,ham,,40,,,,,
if you text on your way to cup stop that should work. And that should be BUS,ham,,76,,,,,
* You gonna ring this weekend or wot?,ham,,37,,,,,
Can you use foreign stamps for whatever you send them off for? ,ham,,63,,,,,
What time you coming down later? ,ham,,33,,,,,
Maybe i could get book out tomo then return it immediately ..? Or something.,ham,,76,,,,,
Have you seen who's back at Holby?!,ham,,35,,,,,
"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet.",ham,,115,,,,,
Have you heard from this week?,ham,,30,,,,,
Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.,ham,,80,,,,,
Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!,ham,,163,,,,,
Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...,ham,,100,,,,,
Got it. Seventeen pounds for seven hundred ml – hope ok.,ham,,56,,,,,
PS U no ur a grown up now right?,ham,,32,,,,,
twenty past five he said will this train have been to durham already or not coz i am in a reserved seat,ham,,103,,,,,
"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished",ham,,136,,,,,
Que pases un buen tiempo or something like that,ham,,47,,,,,
I'll text now! All creepy like so he won't think that we forgot,ham,,63,,,,,
Hey! Congrats 2u2. id luv 2 but ive had 2 go home!,ham,,50,,,,,
I‘ll have a look at the frying pan in case it‘s cheap or a book perhaps. No that‘s silly a frying pan isn‘t likely to be a book,ham,,127,,,,,
say thanks2. ,ham,,13,,,,,
"I have 2 sleeping bags, 1 blanket and paper and  phone details. Anything else?",ham,,78,,,,,
"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care.",ham,,67,,,,,
"It wont b until 2.15 as trying 2 sort house out, is that ok?",ham,,60,,,,,
I have had two more letters from . I will copy them for you cos one has a message for you. Speak soon,ham,,101,,,,,
Yes watching footie but worried we're going to blow it - Phil Neville?,ham,,70,,,,,
"We made it! Eta at taunton is 12:30 as planned, hope that‘s still okday?! Good to see you! :-xx",ham,,95,,,,,
"Tee hee. Off to lecture, cheery bye bye.",ham,,40,,,,,
Can not use foreign stamps in this country. Good lecture .,ham,,58,,,,,
"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please ",ham,,101,,,,,
"I think your mentor is , but not 100 percent sure.",ham,,50,,,,,
"Erm … ill pick you up at about 6.45pm. That'll give enough time to get there, park and that.",ham,,92,,,,,
"Hm good morning, headache anyone? :-)",ham,,37,,,,,
Pick you up bout 7.30ish? What time are  and that going?,ham,,56,,,,,
Have you bookedthe hut? And also your time off? How are you by the way?,ham,,71,,,,,
Bognor it is! Should be splendid at this time of year.,ham,,54,,,,,
"Hi, wlcome back, did wonder if you got eaten by a lion or something, nothing much",ham,,81,,,,,
This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again! ,ham,,97,,,,,
Double eviction this week - Spiral and Michael and good riddance to them!,ham,,73,,,,,
"They can try! They can get lost, in fact. Tee hee",ham,,49,,,,,
I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-),ham,,106,,,,,
"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word).",ham,,105,,,,,
You all ready for * big day tomorrow?,ham,,37,,,,,
I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,ham,,132,,,,,
Have you been practising your curtsey?,ham,,38,,,,,
meet you in corporation st outside gap … you can see how my mind is working!,ham,,76,,,,,
"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x",ham,,90,,,,,
Yes. Last  practice,ham,,19,,,,,
Yes i thought so. Thanks.,ham,,25,,,,,
Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th,ham,,172,,,,,
I like to think there's always the possibility of being in a pub later.,ham,,71,,,,,
hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30,ham,,101,,,,,
"It‘s £6 to get in, is that ok?",ham,,30,,,,,
"What do u reckon as need 2 arrange transport if u can't do it, thanks",ham,,69,,,,,
Hi did u decide wot 2 get 4 his bday if not ill prob jus get him a voucher frm virgin or sumfing ,ham,,97,,,,,
 gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number. ,ham,,95,,,,,
Lol! Nah wasn't too bad thanks. Its good to b home but its been quite a reality check. Hows ur day been? Did u do anything with website?,ham,,136,,,,,
Cheers for the card ... Is it that time of year already?,ham,,56,,,,,
"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols",ham,,125,,,,,
Indeed and by the way it was either or - not both !,ham,,51,,,,,
That's a shame! Maybe cld meet for few hrs tomo?,ham,,48,,,,,
Oops. 4 got that bit.,ham,,21,,,,,
:-) :-),ham,,7,,,,,
Shall I bring us a bottle of wine to keep us amused? Only joking! I‘ll bring one anyway,ham,,87,,,,,
Nope thats fine. I might have a nap tho! ,ham,,41,,,,,
"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",ham,,83,,,,,
Hey mr  and I are going to the sea view and having a couple of gays I mean games! Give me a bell when ya finish ,ham,,112,,,,,
Is that on the telly? No its Brdget Jones!,ham,,42,,,,,
I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?,ham,,104,,,,,
* Am on a train back from northampton so i'm afraid not!,ham,,56,,,,,
"Come round, it's . ",ham,,19,,,,,
"Sorry im getting up now, feel really bad- totally rejected that kinda me thing.",ham,,79,,,,,
* Will be september by then!,ham,,28,,,,,
Back in brum! Thanks for putting us up and keeping us all and happy. See you soon ,ham,,82,,,,,
All done? All handed in? Celebrations in full swing yet?,ham,,56,,,,,
Was the farm open?,ham,,18,,,,,
Printer is cool. I mean groovy. Wine is groovying,ham,,49,,,,,
... Are you in the pub?,ham,,23,,,,,
No i'm not gonna be able to. || too late notice. || i'll be home in a few weeks anyway. || what are the plans,ham,,109,,,,,
Are you driving or training?,ham,,28,,,,,
"[…] anyway, many good evenings to u! s",ham,,38,,,,,
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,ham,,189,,,,,
"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? ",ham,,167,,,,,
" said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! ",ham,,133,,,,,
Hello! How r u? Im bored. Inever thought id get bored with the tv but I am. Tell me something exciting has happened there? Anything! =/,ham,,135,,,,,
Roger that. We‘re probably going to rem in about 20,ham,,51,,,,,
"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted",ham,,85,,,,,
"Okey dokey, i‘ll be over in a bit just sorting some stuff out.",ham,,62,,,,,
Have you emigrated or something? Ok maybe 5.30 was a bit hopeful...,ham,,67,,,,,
Am watching house – very entertaining – am getting the whole hugh laurie thing – even with the stick – indeed especially with the stick.,ham,,136,,,,,
No. Yes please. Been swimming?,ham,,30,,,,,
Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side,ham,,97,,,,,
Man this bus is so so so slow. I think you're gonna get there before me,ham,,71,,,,,
All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?,ham,,168,,,,,
yay! finally lol. i missed our cinema trip last week :-(,ham,,56,,,,,
" says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !",ham,,200,,,,,
I'll pick you up at about 5.15pm to go to taunton if you still want to come.,ham,,76,,,,,
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,ham,,155,,,,,
"Yes, my reg is  Ciao!",ham,,21,,,,,
And you! Will expect you whenever you text! Hope all goes well tomo ,ham,,68,,,,,
Boo. How's things? I'm back at home and a little bored already :-(,ham,,66,,,,,
"Hey there! Glad u r better now. I hear u treated urself to a digi cam, is it good? We r off at 9pm. Have a fab new year, c u in coupla wks!",ham,,139,,,,,
Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?,ham,,91,,,,,
"Sorry, left phone upstairs. OK, might be hectic but would be all my birds with one fell swoop. It's a date.",ham,,107,,,,,
Been running but only managed 5 minutes and then needed oxygen! Might have to resort to the roller option!,ham,,106,,,,,
Hey cutie. How goes it? Here in WALES its kinda ok. There is like hills and shit but i still avent killed myself. ,ham,,114,,,,,
Now thats going to ruin your thesis!,ham,,36,,,,,
I‘m going to try for 2 months ha ha only joking,ham,,47,,,,,
"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya",ham,,79,,,,,
Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;,ham,,107,,,,,
"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!",ham,,135,,,,,
Did you show him and wot did he say or could u not c him 4 dust?,ham,,64,,,,,
My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!,ham,,114,,,,,
Jordan got voted out last nite!,ham,,31,,,,,
"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!",ham,,149,,,,,
Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-),ham,,95,,,,,
Spoons it is then okay?,ham,,23,,,,,
Yes fine ,ham,,9,,,,,
I‘m parked next to a MINI!!!! When are you coming in today do you think?,ham,,72,,,,,
"Ok. Not much to do here though. H&M Friday, cant wait. Dunno wot the hell im gonna do for another 3 weeks! Become a slob- oh wait, already done that! ",ham,,150,,,,,
I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!,ham,,155,,,,,
"Miss ya, need ya, want ya, love ya.",ham,,35,,,,,
"Hello. Sort of out in town already. That . So dont rush home, I am eating nachos. Will let you know eta.",ham,,104,,,,,
Ok cool. See ya then.,ham,,21,,,,,
R u in this continent?,ham,,22,,,,,
* Thought I didn't see you.,ham,,27,,,,,
Yeah right! I'll bring my tape measure fri!,ham,,43,,,,,
"What i mean was i left too early to check, cos i'm working a 9-6.",ham,,65,,,,,
Ok. Not sure what time tho as not sure if can get to library before class. Will try. See you at some point! Have good eve.,ham,,122,,,,,
Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.,ham,,118,,,,,
"Hmm, too many of them unfortunately... Pics obviously arent hot cakes. Its kinda fun tho",ham,,88,,,,,
The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.,ham,,130,,,,,
"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",ham,,157,,,,,
I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,ham,,119,,,,,
on hen night. Going with a swing,ham,,32,,,,,
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",ham,,105,,,,,
Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.,ham,,89,,,,,
Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.,ham,,83,,,,,
Not tonight mate. Catching up on some sleep. This is my new number by the way. ,ham,,79,,,,,
4 oclock at mine. Just to bash out a flat plan.,ham,,47,,,,,
Hasn't that been the pattern recently crap weekends?,ham,,52,,,,,
"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!",ham,,152,,,,,
Well. You know what i mean. Texting,ham,,35,,,,,
I think just yourself …Thanks and see you tomo,ham,,46,,,,,
have * good weekend.,ham,,20,,,,,
For fear of fainting with the of all that housework you just did? Quick have a cuppa,ham,,84,,,,,
Oh yes I can speak txt 2 u no! Hmm. Did u get  email?,ham,,53,,,,,
Cant think of anyone with * spare room off * top of my head,ham,,59,,,,,
"Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday.",ham,,131,,,,,
Just re read it and I have no shame but tell me how he takes it and if he runs I will blame u 4 ever!! Not really 4 ever just a long time ,ham,,138,,,,,
have got * few things to do. may be in * pub later.,ham,,51,,,,,
Annoying isn't it.,ham,,18,,,,,
"Velly good, yes please!",ham,,23,,,,,
"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?",ham,,101,,,,,
Well good morning mr . Hows london treatin' ya treacle?,ham,,55,,,,,
HIYA STU WOT U UP 2.IM IN SO MUCH TRUBLE AT HOME AT MOMENT EVONE HATES ME EVEN U! WOT THE HELL AV I DONE NOW? Y WONT U JUST TELL ME TEXT BCK PLEASE LUV DAN ,ham,,156,,,,,
Lol! Oops sorry! Have fun. ,ham,,27,,,,,
Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan? ,ham,,89,,,,,
"Well, I was about to give up cos they all said no they didn‘t do one nighters. I persevered and found one but it is very cheap so i apologise in advance. It is just somewhere to sleep isnt it?",ham,,192,,,,,
"whatever, im pretty pissed off.",ham,,31,,,,,
Hey mate. Spoke to the mag people. We‘re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later. ,ham,,124,,,,,
"We are hoping to get away by 7, from Langport. You still up for town tonight?",ham,,77,,,,,
Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.,ham,,93,,,,,
Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator!,ham,,86,,,,,
Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week,ham,,123,,,,,
:-) yeah! Lol. Luckily i didn't have a starring role like you!,ham,,62,,,,,
Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!,ham,,107,,,,,
The wine is flowing and i'm i have nevering..,ham,,45,,,,,
"Gosh that , what a pain. Spose I better come then.",ham,,50,,,,,
"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing.",ham,,112,,,,,
You intrepid duo you! Have a great time and see you both soon. ,ham,,63,,,,,
"Hey , is * rite u put »10 evey mnth is that all?",ham,,48,,,,,
"Ok. Can be later showing around 8-8:30 if you want + cld have drink before. Wld prefer not to spend money on nosh if you don't mind, as doing that nxt wk.",ham,,154,,,,,
Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,ham,,82,,,,,
Hi here. have birth at on the  to  at 8lb 7oz. Mother and baby doing brilliantly.,ham,,81,,,,,
There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,ham,,94,,,,,
"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money.",ham,,166,,,,,
Thanks. It was only from tescos but quite nice. All gone now. Speak soon ,ham,,73,,,,,
";-( oh well, c u later",ham,,22,,,,,
A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol,ham,,84,,,,,
Sorry completely forgot * will pop em round this week if your still here?,ham,,73,,,,,
"Good! No, don‘t need any receipts—well done! (…) Yes, please tell . What‘s her number, i could ring her",ham,,103,,,,,
Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? ,ham,,80,,,,,
"Thank you. And by the way, I just lost.",ham,,39,,,,,
"Sure thing big man. i have hockey elections at 6, shouldn‘t go on longer than an hour though",ham,,92,,,,,
Sorry. || mail? || ,ham,,19,,,,,
"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ? ",ham,,138,,,,,
", how's things? Just a quick question.",ham,,38,,,,,
"Received, understood n acted upon!",ham,,34,,,,,
"Don't worry, * is easy once have ingredients!",ham,,45,,,,,
I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him,ham,,151,,,,,
"That's the trouble with classes that go well - you're due a dodgey one … Expecting mine tomo! See you for recovery, same time, same place ",ham,,138,,,,,
"No, but you told me you were going, before you got drunk!",ham,,57,,,,,
"Hello. No news on job, they are making me wait a fifth week! Yeah im up for some woozles and weasels... In exeter still, but be home about 3. ",ham,,142,,,,,
Just got up. have to be out of the room very soon. …. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.,ham,,179,,,,,
;-) ok. I feel like john lennon.,ham,,32,,,,,
Yeah no probs - last night is obviously catching up with you... Speak soon ,ham,,75,,,,,
Thought praps you meant another one. Goodo! I'll look tomorrow ,ham,,63,,,,,
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,ham,,195,,,,,
"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do",ham,,85,,,,,
Mystery solved! Just opened my email and he's sent me another batch! Isn't he a sweetie,ham,,87,,,,,
"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!",ham,,109,,,,,
Yo! Howz u? girls never rang after india. L,ham,,43,,,,,
"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it.",ham,,122,,,,,
Ha! I wouldn't say that I just didn't read anything into way u seemed. I don't like 2 be judgemental....i save that for fridays in the pub!,ham,,139,,,,,
What * u wearing?,ham,,17,,,,,
"Dear relieved of westonzoyland, all going to plan this end too!",ham,,63,,,,,
"Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x",ham,,82,,,,,
Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too,ham,,87,,,,,
Can not use foreign stamps in this country.,ham,,43,,,,,
Hello hun how ru? Its here by the way. Im good. Been on 2 dates with that guy i met in walkabout so far. We have to meet up soon. Hows everyone else?,ham,,149,,,,,
V skint too but fancied few bevies.waz gona go meet &othrs in spoon but jst bin watchng planet earth&sofa is v comfey; If i dont make it hav gd night,ham,,149,,,,,
"It‘s reassuring, in this crazy world.",ham,,37,,,,,
am up to my eyes in philosophy,ham,,30,,,,,
Not sure I have the stomach for it ...,ham,,38,,,,,
Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.,ham,,159,,,,,
Don‘t give a flying monkeys wot they think and I certainly don‘t mind. Any friend of mine and all that!,ham,,103,,,,,
S'fine. Anytime. All the best with it.,ham,,38,,,,,
Pansy! You've been living in a jungle for two years! Its my driving you should be more worried about!,ham,,101,,,,,
"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!",ham,,99,,,,,
Thnx dude. u guys out 2nite?,ham,,28,,,,,
"Hmm well, night night ",ham,,22,,,,,
"Ah, well that confuses things, doesn‘t it?",ham,,42,,,,,
I to am looking forward to all the sex cuddling.. Only two more sleeps ,ham,,71,,,,,
Can you do a mag meeting this avo at some point?,ham,,48,,,,,
Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?,ham,,175,,,,,
Well I'm going to be an aunty!,ham,,30,,,,,
"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in.",ham,,155,,,,,
"Hiya, had a good day? Have you spoken to since the weekend?",ham,,59,,,,,
Did u find out what time the bus is at coz i need to sort some stuff out.,ham,,73,,,,,
Need a coffee run tomo?Can't believe it's that time of week already,ham,,67,,,,,
"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember.",ham,,140,,,,,
"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs.",ham,,169,,,,,
Great escape. I fancy the bridge but needs her lager. See you tomo ,ham,,67,,,,,
Not a lot has happened here. Feels very quiet. Beth is at her aunts and charlie is working lots. Just me and helen in at the mo. How have you been? ,ham,,148,,,,,
I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love,ham,,131,,,,,
How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.,ham,,134,,,,,
Bbq this sat at mine from 6ish. Ur welcome 2 come,ham,,49,,,,,
That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,ham,,157,,,,,
"Yeah, that's fine! It's £6 to get in, is that ok? ",ham,,50,,,,,
"Hiya, probably coming home * weekend after next",ham,,47,,,,,
"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs",ham,,87,,,,,
R u sure they'll understand that! Wine * good idea just had a slurp!,ham,,68,,,,,
I have lost 10 kilos as of today!,ham,,33,,,,,
Done it but internet connection v slow and can‘t send it. Will try again later or first thing tomo.,ham,,99,,,,,
"Evening * v good if somewhat event laden. Will fill you in, don't you worry … Head * ok but throat * wrecked. See you at six then!",ham,,130,,,,,
Beerage?,ham,,8,,,,,
