Message,Extracted URL,Message Len,FQDN,Website Size in KB,Website Textual Content Length,Status Code,Parked
645,,3,,,,,
Ü dun need to pick ur gf?,,25,,,,,
Okie...,,7,,,,,
m at home n ready...,,20,,,,,
Ok...,,5,,,,,
Dunno lei... I thk mum lazy to go out... I neva ask her yet...,,62,,,,,
Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...,,83,,,,,
Dun need to use dial up juz open da browser n surf...,,53,,,,,
When did i use soc... I use it only at home... Ü dunno how 2 type it in word ar...,,82,,,,,
Can a not?,,10,,,,,
Juz go google n search 4 qet...,,31,,,,,
s hostel?,,9,,,,,
Ok...,,5,,,,,
Huh means computational science... Y they like dat one push here n there...,,75,,,,,
I not at home now lei...,,24,,,,,
Eatin my lunch...,,17,,,,,
Ü takin linear algebra today?,,29,,,,,
Ü bot notes oredi... Cos i juz rem i got...,,43,,,,,
Wah lucky man... Then can save money... Hee...,,46,,,,,
Y so late but i need to go n get da laptop...,,45,,,,,
Where to get those?,,19,,,,,
Then cant get da laptop? My matric card wif ü lei...,,52,,,,,
I dunno they close oredi not... Ü v ma fan...,,45,,,,,
Hi dis is yijue i would be happy to work wif ü all for gek1510...,,65,,,,,
Ü comin to fetch us oredi...,,28,,,,,
Got smaller capacity one? Quite ex...,,37,,,,,
Ok thanx...,,11,,,,,
Wat ü doing now?,,16,,,,,
Got meh... When?,,16,,,,,
m not at home in da aft wat...,,30,,,,,
Mum ask ü to buy food home...,,29,,,,,
Leave it wif me lar... Ü wan to carry meh so heavy... Is da num 98321561 familiar to ü?,,87,,,,,
s my group mate... Lucky i havent reply... Wat time do ü need to leave...,,73,,,,,
m askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...,,71,,,,,
Yup...,,6,,,,,
m stuck in da middle of da row on da right hand side of da lt...,,64,,,,,
Black shirt n blue jeans... I thk i c ü...,,42,,,,,
Not directly behind... Abt 4 rows behind ü...,,45,,,,,
Ü go home liao? Ask dad to pick me up at 6...,,45,,,,,
m done oredi...,,15,,,,,
I wait 4 ü inside da car park...,,32,,,,,
Yup... How ü noe leh...,,23,,,,,
Oic... I saw him too but i tot he din c me... I found a group liao...,,69,,,,,
Aiyo a bit pai seh ü noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...,,114,,,,,
How i noe... Did ü specify da domain as nusstu... Ü still in sch...,,67,,,,,
When ü login dat time... Dad fetching ü home now?,,49,,,,,
I come n pick ü up... Come out immediately aft ur lesson...,,59,,,,,
Eh ur laptop got no stock lei... He say mon muz come again to take a look c got a not...,,88,,,,,
Ü ready then call me...,,23,,,,,
Ü still got lessons?  Ü in sch?,,31,,,,,
Shall i get my pouch?,,21,,,,,
m on da bus going home...,,25,,,,,
m walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now?,,104,,,,,
ll take forever to come back...,,31,,,,,
R ü comin back for dinner?,,26,,,,,
Eat at old airport road... But now 630 oredi... Got a lot of pple...,,68,,,,,
Y bishan lei... I tot ü say lavender?,,37,,,,,
Free any day but i finish at 6 on mon n thurs...,,48,,,,,
"I prefer my free days... Tues, wed, fri oso can... Ü ask those workin lor...",,76,,,,,
But we havent got da topic yet rite?,,36,,,,,
So can collect ur laptop?,,25,,,,,
Ok good then i later come find ü... C lucky i told ü to go earlier... Later pple take finish ü no more again...,,111,,,,,
Eat jap done oso aft ur lect wat... Ü got lect at 12 rite...,,60,,,,,
So ü pay first lar... Then when is da stock comin...,,52,,,,,
s ur pin?,,9,,,,,
Ü collecting ur laptop then going to configure da settings izzit?,,65,,,,,
Cos daddy arranging time c wat time fetch ü mah...,,50,,,,,
Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...,,92,,,,,
So li hai... Me bored now da lecturer repeating last weeks stuff waste time...,,78,,,,,
m wearing shorts...,,19,,,,,
Huh y lei...,,12,,,,,
m eatin wif my frens now lei... Ü going home first?,,51,,,,,
Havent still waitin as usual... Ü come back sch oredi?,,54,,,,,
No break time one... How... I come out n get my stuff fr ü?,,59,,,,,
Tmr then ü brin lar... Aiya later i come n c lar... Mayb ü neva set properly ü got da help sheet wif ü...,,105,,,,,
I dunno lei... Like dun haf...,,30,,,,,
s present ar.,,13,,,,,
Havent shopping now lor i juz arrive only,,41,,,,,
Beauty sleep can help ur pimples too.,,37,,,,,
Up to ü... Ü wan come then come lor... But i din c any stripes skirt...,,71,,,,,
s repent how?,,13,,,,,
Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,,85,,,,,
Ok i found dis pierre cardin one which looks normal costs 20 its on sale.,,73,,,,,
Y ü wan to go there? C doctor?,,30,,,,,
m wif him now buying tix lar...,,31,,,,,
How much r ü willing to pay?,,28,,,,,
m selling it for $50...,,23,,,,,
s at home...,,12,,,,,
Ok... Thanx... Gd nite 2 ü too...,,33,,,,,
Wat uniform? In where get?,,26,,,,,
ve finished c ü there...,,24,,,,,
Never y lei... I v lazy... Got wat? Dat day ü send me da url cant work one...,,77,,,,,
re done...,,10,,,,,
Anything lar...,,15,,,,,
Go where n buy? Juz buy when we get there lar.,,46,,,,,
Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,,79,,,,,
Do u noe how 2 send files between 2 computers?,,46,,,,,
I gotta collect da car at 6 lei.,,32,,,,,
2 laptop... I noe infra but too slow lar... I wan fast one,,58,,,,,
Dunno da next show aft 6 is 850. Toa payoh got 650.,,51,,,,,
Tmr timin still da same wat cos i got lesson until 6...,,55,,,,,
Wat time ü wan today?,,21,,,,,
Aiya we discuss later lar... Pick ü up at 4 is it?,,50,,,,,
m in a movie... Collect car oredi...,,36,,,,,
I anything lor...,,17,,,,,
Nothin comes to my mind. Ü help me buy hanger lor. Ur laptop not heavy?,,71,,,,,
Ok lor wat time ü finish?,,25,,,,,
Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...,,103,,,,,
Ü v ma fan...,,13,,,,,
Ü come lt 25 n pass to me lar,,29,,,,,
Y lei?,,6,,,,,
I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,,86,,,,,
Aiyo cos i sms ü then ü neva reply so i wait 4 ü to reply lar. I tot ü havent finish ur lab wat.,,96,,,,,
Auntie huai juan never pick up her phone,,40,,,,,
I not free today i haf 2 pick my parents up tonite...,,53,,,,,
Ok..,,4,,,,,
Dunno lei... I might b eatin wif my frens... If ü wan to eat then i wait 4 ü lar,,80,,,,,
How come?,,9,,,,,
Then ü ask dad to pick ü up lar... Ü wan 2 stay until 6 meh...,,62,,,,,
Oh ok wait 4 me there... My lect havent finish,,46,,,,,
m done...,,9,,,,,
In da car park,,14,,,,,
s sdryb8i,,9,,,,,
Ü thk of wat to eat tonight.,,28,,,,,
Aiyo please ü got time meh.,,27,,,,,
m free...,,9,,,,,
Ok.,,3,,,,,
Anything lor. Juz both of us lor.,,33,,,,,
Ok c ü then.,,12,,,,,
ll be late...,,13,,,,,
Kent vale lor... Ü wait 4 me there ar?,,38,,,,,
Ard 530 lor. I ok then message ü lor.,,37,,,,,
m done. C ü there.,,18,,,,,
staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323,,49,,,,,
Dunno lei shd b driving lor cos i go sch 1 hr oni.,,50,,,,,
Ü wait 4 me in sch i finish ard 5..,,35,,,,,
Ok can...,,9,,,,,
Ü dun wan to watch infernal affair?,,35,,,,,
Cos darren say ü considering mah so i ask ü...,,46,,,,,
s confirmed... I tot they juz say oni... Ok then...,,51,,,,,
Me n him so funny...,,20,,,,,
Anything lor is she coming?,,27,,,,,
m in town now lei.,,18,,,,,
With my sis lor... We juz watched italian job.,,46,,,,,
C movie is juz last minute decision mah. Juz watch 2 lar but i tot ü not interested.,,84,,,,,
Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,,71,,,,,
s ok.,,5,,,,,
Can ü all decide faster cos my sis going home liao..,,52,,,,,
Yup ü not comin :-(,,19,,,,,
He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. Ü got a lot of work ar?,,148,,,,,
I jokin oni lar.. Ü busy then i wun disturb ü.,,46,,,,,
Ok lor...,,9,,,,,
m in a movie. Call me 4 wat?,,28,,,,,
s meeting?,,10,,,,,
Do ü noe if ben is going?,,25,,,,,
Dunno lei ü all decide lor. How abt leona? Oops i tot ben is going n i msg him.,,79,,,,,
s ok..,,6,,,,,
s da decision?,,14,,,,,
Then ü wait 4 me at bus stop aft ur lect lar. If i dun c ü then i go get my car then come back n pick ü.,,104,,,,,
Ok i juz receive..,,18,,,,,
I borrow ur bag ok.,,19,,,,,
Can. Dunno wat to get 4 her...,,30,,,,,
Ok. But i finish at 6.,,22,,,,,
ll b going out shopping 4 my frens present.,,43,,,,,
Or i go home first lar ü wait 4 me lor.. I put down my stuff first..,,68,,,,,
ll finish buying?,,17,,,,,
Ok... But bag again..,,21,,,,,
s yijue@hotmail.com,,19,,,,,
ll be in da lab doing some stuff give me a call when ü r done.,,62,,,,,
Anything lar then ü not going home 4 dinner?,,44,,,,,
When can ü come out?,,20,,,,,
I havent lei.. Next mon can?,,28,,,,,
"That day ü say ü cut ur hair at paragon, is it called hair sense? Do ü noe how much is a hair cut?",,98,,,,,
s da one ü cut ur hair.,,23,,,,,
s at paragon... I havent decided whether 2 cut yet... Hee...,,60,,,,,
Ok lor but not too early. Me still having project meeting now.,,62,,,,,
Ard 6 like dat lor.,,19,,,,,
I not busy juz dun wan 2 go so early.. Hee..,,44,,,,,
m not driving today.,,20,,,,,
Doing project w frens lor.,,26,,,,,
m not coming home 4 dinner.,,27,,,,,
Ard 530 like dat lor. We juz meet in mrt station then ü dun haf to come out.,,76,,,,,
Ok lor ü reaching then message me.,,34,,,,,
Happy birthday... May all ur dreams come true...,,48,,,,,
s a card on da present lei... How? Ü all want 2 write smth or sign on it?,,73,,,,,
Ü give me some time to walk there.,,34,,,,,
Ü all write or wat..,,20,,,,,
Then ü come n pick me at 530 ar?,,32,,,,,
Thanx 4 sending me home...,,26,,,,,
Is ur lecture over?,,19,,,,,
Sorry me going home first... Daddy come fetch ü later...,,56,,,,,
Okie.. Thanx..,,14,,,,,
Will ü b going to esplanade fr home?,,36,,,,,
We confirm eating at esplanade?,,31,,,,,
7 at esplanade.. Do ü mind giving me a lift cos i got no car today..,,68,,,,,
Ü got wat to buy tell us then ü no need to come in again.,,57,,,,,
s da model num of ur phone?,,27,,,,,
Hmm thinking lor...,,19,,,,,
Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...,,96,,,,,
Ü say until like dat i dun buy ericsson oso cannot oredi lar...,,63,,,,,
Jokin only lar... :-) depends on which phone my father can get lor...,,69,,,,,
No need to buy lunch for me.. I eat maggi mee..,,47,,,,,
I know she called me,,20,,,,,
s da rest of da project going?,,30,,,,,
m doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..,,149,,,,,
Yup i shd haf ard 10 pages if i add figures... Ü all got how many pages?,,72,,,,,
s y we haf to combine n c how lor...,,36,,,,,
ll b doing da contents pg n cover pg..,,38,,,,,
m going out 4 dinner soon..,,27,,,,,
s ur email?,,11,,,,,
ve sent ü my part..,,19,,,,,
I emailed yifeng my part oredi.. Can ü get it fr him..,,54,,,,,
No need to ke qi... Ü too bored izzit y suddenly thk of this...,,63,,,,,
TaKe CaRE n gET WeLL sOOn,,25,,,,,
Ü no home work to do meh...,,27,,,,,
Huh so late... Fr dinner?,,25,,,,,
m elaborating on the safety aspects and some other issues..,,59,,,,,
Oic... Then better quickly go bathe n settle down...,,52,,,,,
m hungry buy smth home...,,25,,,,,
But i juz remembered i gotta bathe my dog today..,,49,,,,,
Ok lor thanx... Ü in school?,,28,,,,,
Ok thanx... Take care then...,,29,,,,,
Oops i thk i dun haf enuff... I go check then tell ü..,,54,,,,,
Ü only send me the contents page...,,35,,,,,
Wat time ü finish?,,18,,,,,
But i haf enuff space got like 4 mb...,,38,,,,,
Where r e meeting tmr?,,22,,,,,
Oh ok no prob..,,15,,,,,
Huh i cant thk of more oredi how many pages do we have?,,55,,,,,
Can ü send me a copy of da report?,,34,,,,,
I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs?,,84,,,,,
How abt making some of the pics bigger?,,39,,,,,
ll come online now..,,20,,,,,
How r ü going to send it to me?,,31,,,,,
s clearer..,,11,,,,,
I havent add ü yet right..,,26,,,,,
They said ü dun haf passport or smth like dat.. Or ü juz send to my email account..,,83,,,,,
ve finished the formatting...,,29,,,,,
Can i meet ü at 5.. As 4 where depends on where ü wan 2 in lor..,,64,,,,,
Ok.. Ü finishing soon?,,22,,,,,
ll be submitting da project tmr rite?,,37,,,,,
Ok lor... But buy wat?,,22,,,,,
Or ü go buy wif him then i meet ü later can?,,44,,,,,
Huh so early.. Then ü having dinner outside izzit?,,50,,,,,
Must come later.. I normally bathe him in da afternoon mah..,,60,,,,,
ll go.,,6,,,,,
ll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-),,76,,,,,
Yar but they say got some error.,,32,,,,,
If u dun drive then how i go 2 sch.,,35,,,,,
Yup,,3,,,,,
Anything...,,11,,,,,
Then u drive lor.,,17,,,,,
Ok,,2,,,,,
"Wat time liao, where still got.",,31,,,,,
Gd luck 4 ur exams :-),,22,,,,,
Is ur paper today in e morn or aft?,,35,,,,,
ll b going 2 sch later.,,23,,,,,
Oh ok..,,7,,,,,
In sch but neva mind u eat 1st lor..,,36,,,,,
Call me when u finish then i come n pick u.,,43,,,,,
Hui xin is in da lib.,,21,,,,,
Okie...,,7,,,,,
m in da canteen now.,,20,,,,,
Haf u found him? I feel so stupid da v cam was working.,,55,,,,,
Where r we meeting?,,19,,,,,
I went to ur hon lab but no one is there.,,41,,,,,
ve reached sch already...,,25,,,,,
Can u look 4 me in da lib i got stuff havent finish yet.,,56,,,,,
ve already made changes 2 da previous report.,,45,,,,,
s over.. Dun thk abt it already. Concentrate on ur other papers k.,,66,,,,,
Din i tell u jus now 420,,24,,,,,
I fetch yun or u fetch?,,23,,,,,
All e best 4 ur exam later.,,27,,,,,
s v nice...,,11,,,,,
m coming home now.,,18,,,,,
Who u talking about?,,20,,,,,
Sorry sent blank msg again. Yup but trying 2 do some serious studying now.,,74,,,,,
m in e lazy mode today.,,23,,,,,
ve reached already.,,19,,,,,
Yup no more already... Thanx 4 printing n handing it up.,,56,,,,,
Ok,,2,,,,,
ve sent u da latest version of da project.,,42,,,,,
Mine here like all fr china then so noisy.,,42,,,,,
Here got lots of hair dresser fr china.,,39,,,,,
All e best 4 ur driving tmr :-),,31,,,,,
s cutting quite short 4 me leh.,,31,,,,,
Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.,,102,,,,,
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,,110,,,,,
Thanx...,,8,,,,,
Shant disturb u anymore... Jia you...,,37,,,,,
Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.,,125,,,,,
ll b going 2 sch on mon. My sis need 2 take smth.,,49,,,,,
m not going liao. Too lazy. Dun wan 2 distract u also.,,54,,,,,
s quite sad.,,12,,,,,
I might go 2 sch. Yar at e salon now v boring.,,46,,,,,
Is ur paper in e morn or aft tmr?,,33,,,,,
Nothing. Can...,,15,,,,,
Shb b ok lor... Thanx...,,24,,,,,
Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(,,115,,,,,
Really dun bluff me leh... U sleep early too. Nite...,,53,,,,,
Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...,,77,,,,,
Wif my family booking tour package.,,35,,,,,
s ur paper?,,11,,,,,
re rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,,137,,,,,
My phone,,8,,,,,
Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.,,74,,,,,
ll go out w u all lor. N u still can act so real.,,49,,,,,
s bad dat all e gals know u... Wat u doing now?,,47,,,,,
U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...,,84,,,,,
Aiyar sorry lor forgot 2 tell u...,,34,,,,,
m meeting Darren...,,19,,,,,
U coming 2 pick me?,,19,,,,,
Can do lor...,,13,,,,,
s ok lar. U sleep early too... Nite...,,38,,,,,
Nvm take ur time.,,17,,,,,
Okie,,4,,,,,
s ok. Going 2 rain leh where got gd.,,36,,,,,
"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.",,160,,,,,
Dunno he jus say go lido. Same time 930.,,40,,,,,
U know we watchin at lido?,,26,,,,,
Wat time do u wan 2 meet me later?,,34,,,,,
Now got tv 2 watch meh? U no work today?,,40,,,,,
Then we wait 4 u lor... No need 2 feel bad lar...,,49,,,,,
"Doing nothing, then u not having dinner w us?",,45,,,,,
Ok...,,5,,,,,
Ok i also wan 2 watch e 9 pm show...,,36,,,,,
Sian... Aft meeting supervisor got work 2 do liao... U working now?,,67,,,,,
Quite late lar... Ard 12 anyway i wun b drivin...,,49,,,,,
Ok but tell me half an hr b4 u come i need 2 prepare.,,53,,,,,
