spam,smishing,Unique Url,FQDN,Website Size in KB,Website Textual Content Length,Status Code,Parked
0,1,http://owly.com/nPyL308KyWG,owly.com,0,0,-1,0
1,0,www.telediscount.co.uk,www.telediscount.co.uk,238889,17070,200,0
1,0,www.StockInNews.com,www.StockInNews.com,821,0,200,1
1,0,www.clubzed.co.uk,www.clubzed.co.uk,0,0,-1,0
0,1,www.t-c.biz,www.t-c.biz,0,0,-1,0
0,1,http://bit.do/Claim-Tax,bit.do,0,0,-1,0
0,1,http://goo.gle/xxxx,goo.gle,278943,105,200,0
1,1,www.SMS.ac/u/goldviking,www.SMS.ac,1034,0,200,1
1,0,www.music.nokia.com,www.music.nokia.com,0,0,-1,0
0,1,http://reac.mobi/@mobile,reac.mobi,0,0,-1,0
0,1,http://www.Nationwide.co.uk/,www.Nationwide.co.uk,545297,6221,200,0
0,1,http://www.oakleyoutletsco.com,www.oakleyoutletsco.com,0,0,-1,0
1,1,www.4-tc.biz,www.4-tc.biz,0,0,-1,0
1,0,http://m.moneycontrol.com/MoM,m.moneycontrol.com,1536367,68429,200,1
0,1,http://95.141.32.7:81/default.aspx,95.141.32.7.,0,0,-1,0
1,0,www.txttowin.co.uk,www.txttowin.co.uk,0,0,-1,0
1,0,www.movietrivia.tv,www.movietrivia.tv,0,0,-1,0
1,0,www.getzed.co.uk,www.getzed.co.uk,0,0,-1,0
1,1,www.SMS.ac/u/nat2708198,www.SMS.ac,1034,0,200,1
0,1,www.win-82050.co.uk,www.win-82050.co.uk,0,0,-1,0
1,0,http://img.sms.ac/W/icmb3cktz8r7!,img.sms.ac,1034,0,200,1
1,0,www.mymoneymantra.com,www.mymoneymantra.com,275075,6585,200,0
0,0,http//www.gr8prizes.com,http.,0,0,-1,0
0,1,https://is.gd/AppVerify,is.gd,0,0,200,0
0,1,http://itdo/bankofamerica-session-user,itdo.,0,0,-1,0
1,0,http://m.ibibo.com/c/10,m.ibibo.com,199474,13349,200,0
0,1,www.regalportfolio.co.uk,www.regalportfolio.co.uk,0,0,-1,0
0,1,http://commbank.netban,commbank.netban.,0,0,-1,0
1,0,www.txt-2-shop.com,www.txt-2-shop.com,0,0,-1,0
0,1,http://103.208.86.96,103.208.86.96.,0,0,-1,0
0,1,http://www.e-tlp.co.uk/rewa,www.e-tlp.co.uk,0,0,-1,0
0,1,http://cibc.mobileupdate.granpianostudio.com/cibcfullz/Internet,cibc.mobileupdate.granpianostudio.com,0,0,-1,0
0,1,http://mijn.ing-mobiel.com/update.apk,mijn.ing-mobiel.com,0,0,-1,0
1,0,http://apalyaps15.com/tv/TV.jsp,apalyaps15.com,0,0,-1,0
1,0,http://goo.gl/iRrIJ,goo.gl,69304,5114,200,1
1,1,http://img.sms.ac/W/icmb3cktz8r7,img.sms.ac,1034,0,200,1
1,0,www.music-trivia.net,www.music-trivia.net,0,0,-1,0
1,0,http://10.11.233.29/vodafone/66826/index.php,10.11.233.29.,0,0,-1,0
0,1,https://westpac-mobile.cc,westpac-mobile.cc,0,0,-1,0
1,1,www.textcomp.com,www.textcomp.com,0,0,-1,0
0,1,www.oakleyoutletsco.com,www.oakleyoutletsco.com,0,0,-1,0
0,1,www.gamb.tv,www.gamb.tv,0,0,-1,0
1,0,www.tkls.com,www.tkls.com,114,0,200,1
0,1,http://www.urawinner.com,www.urawinner.com,114,0,200,1
0,1,http://2cibc.mobileupdate.gram,2cibc.mobileupdate.gram.,0,0,-1,0
0,1,http://23.254.215.52,23.254.215.52.,0,0,-1,0
0,1,http://tdbankmobile.cleanbeautytalk.com,tdbankmobile.cleanbeautytalk.com,0,0,-1,0
0,1,http://7e4d6417.ngrok.io/paytm,7e4d6417.ngrok.io,0,0,404,0
1,0,www.Idew.com,www.Idew.com,0,0,-1,0
0,1,www.phb1.com,www.phb1.com,157787,2394,200,0
0,1,http://rghst.xyz/NPHTmtb,rghst.xyz,0,0,-1,0
0,1,http://natwestauth.xyz,natwestauth.xyz,0,0,-1,0
0,1,http://Ow.ly/ozvo308t.Jxz,Ow.ly,300380,8620,200,0
1,0,www.santacalling.com,www.santacalling.com,0,0,-1,0
0,1,www.rtf.sphosting.com,www.rtf.sphosting.com,0,0,-1,0
1,0,http://www.bubbletext.com,www.bubbletext.com,0,0,-1,0
1,0,www.txt82228.com,www.txt82228.com,0,0,-1,0
1,1,http://wap.xxxmobilemovieclub.com?n=QJKGIGHJJGCBL,wap.xxxmobilemovieclub.com,0,0,-1,0
1,1,http://www.vouch4me.com/etlp/dining.asp,www.vouch4me.com,0,0,-1,0
0,0,http://hmrc.taxrebate.co.uk,hmrc.taxrebate.co.uk,0,0,-1,0
1,0,http://ipl.onmix.mobi/?src=504,ipl.onmix.mobi,0,0,-1,0
1,0,www.SMS.ac/u/bootydelious,www.SMS.ac,1034,0,200,1
0,1,www.97bmo.tk,www.97bmo.tk,0,0,-1,0
0,1,www.SMS.ac/u/natalie2k9,www.SMS.ac,1034,0,200,1
0,1,http://rghst.us/xRI2284,rghst.us,0,0,-1,0
1,0,http://live.airtelworld.com,live.airtelworld.com,0,0,-1,0
0,1,http://doit.mymoby.tv,doit.mymoby.tv,0,0,-1,0
0,1,https://bit.ly/32ZwcQ5,bit.ly,106530,8532,200,1
0,1,http://ww.Nationwide.co.uk/,ww.Nationwide.co.uk,0,0,-1,0
1,0,www.Applausestore.com,www.Applausestore.com,2481,0,200,1
0,1,http://www.Nationwide.co.uk,www.Nationwide.co.uk,545297,6221,200,0
0,1,http://bit.do/cgjK-and,bit.do,0,0,-1,0
1,0,www.bridal.petticoatdreams.co.uk,www.bridal.petticoatdreams.co.uk,16257,121,200,0
1,1,www.shortbreaks.org.uk,www.shortbreaks.org.uk,0,0,-1,0
1,1,http://gotbabes.co.uk,gotbabes.co.uk,0,0,-1,0
0,1,http://rghst.rocks,rghst.rocks,0,0,-1,0
0,1,http://url.ie/17j80,url.ie,7707,659,200,0
0,1,https://uk-covid-19.webredirect.org,uk-covid-19.webredirect.org,0,0,-1,0
1,0,http://music.nokia.co.in/myn5free,music.nokia.co.in,0,0,-1,0
1,1,www.Ldew.com,www.Ldew.com,0,0,-1,0
0,1,http://gommbanklogin:netbank.com,gommbanklogin.,0,0,-1,0
1,0,www.flirtparty.us,www.flirtparty.us,0,0,-1,0
0,1,www.dbuk.net,www.dbuk.net,0,0,-1,0
0,1,http://verifyapple.uk,verifyapple.uk,0,0,-1,0
0,1,www.areyouunique.co.uk,www.areyouunique.co.uk,0,0,-1,0
0,1,www.bestbuy.com.your-a-winner.net/?id-ichrfcycylck,www.bestbuy.com.your-a-winner.net,0,0,-1,0
0,1,http://aetacms.com/cas/auo.html/redirect-aopis.it,aetacms.com,0,0,-1,0
0,1,http://8629a7f1.ngrok.io,8629a7f1.ngrok.io,0,0,404,0
1,1,www.SMS.ac/u/nat27081980,www.SMS.ac,1034,0,200,1
0,1,http://www.apple.com.text.won.com,www.apple.com.text.won.com,0,0,-1,0
0,1,http://rghst.us/Htcdlas,rghst.us,0,0,-1,0
0,1,http://www.nationwide.co.uk/,www.nationwide.co.uk,545297,6221,200,0
0,1,www.smsco.net,www.smsco.net,0,0,-1,0
0,1,http://alto18.co.uk/wave/wave.asp?o=44345,alto18.co.uk,0,0,-1,0
1,1,http://www.gr8prizes.com,www.gr8prizes.com,0,0,-1,0
0,1,http://95.141.32.7:81/orders.aspx,95.141.32.7.,0,0,-1,0
1,0,www.ringtones.co.uk,www.ringtones.co.uk,0,0,404,0
1,0,www.cashbin.co.uk,www.cashbin.co.uk,0,0,-1,0
1,0,www.100percent-real.com,www.100percent-real.com,0,0,-1,0
