label,text,translated_text
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,Só me forçou a comer uma fatia.Eu realmente não estou com fome.Isso é péssimo.Mark está ficando preocupado.Ele sabe que estou doente quando desmontei a pizza.Lol
ham,Lol your always so convincing.,Lol você é sempre tão convincente.
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,Você pegou o ônibus?Você está fritando um ovo?Você fez um chá?Você está comendo sua mãe sobrando no jantar?Você sente meu amor?
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room","Estou de volta & amp;Estamos arrumando o carro agora, eu avisarei se houver espaço"
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,Ahhh.Trabalhar.Eu me lembro vagamente disso!Como é?Lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","Espere, isso ainda não é tão claro, você não tinha certeza de eu ser sarcástico ou é por isso que X não quer morar conosco"
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,"Sim, ele chegou às 2 e se desculpou.N havia caído e ela estava agindo como uma criança mimada e ele foi pego nisso.Até 2!Mas não vamos lá!Não estou fazendo muito mal.Você?"
ham,K tell me anything about you.,K Diga -me qualquer coisa sobre você.
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,"Por medo de desmaiar com o trabalho doméstico que você acabou de fazer?Rápido, tenha uma xícara de chá"
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,"Obrigado pela sua assinatura no toque uk, seu celular será cobrado Å £ 5/mês, por favor, confirme respondendo sim ou não.Se você responder não, você não será cobrado"
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,"Sim ... ok, eu vou para casa olhe para os horários, então eu msg ì_ de novo ... Xuhui vai aprender em 2 de maio também, mas sua lição é às 8h"
ham,"Oops, I'll let you know when my roommate's done","Opa, eu avisarei quando meu colega de quarto terminar"
ham,I see the letter B on my car,Eu vejo a letra B no meu carro
ham,Anything lor... U decide...,Qualquer coisa para ... você decide ...
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,Olá!Como vai você e como foi o sábado?Eu estava apenas mandando mensagens para ver se você decidiu fazer qualquer coisa Tomo.Não que eu esteja tentando me convidar ou qualquer coisa!
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,"Por favor, vá em frente com Watts.Eu só queria ter certeza.Tenha um ótimo fim de semana.Abiola"
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","Eu esqueci de te contar?Eu quero você, eu preciso de você, eu te desejo ... mas acima de tudo ... eu te amo meu doce corcel árabe ... mmmmmm ... gostoso"
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 - RODGER BURNS - MSG = Tentamos chamá -lo de resposta ao nosso SMS para uma câmera de câmera gratuita para celular + gratuita.Ligue agora 08000930705 para entrega amanhã
ham,WHO ARE YOU SEEING?,Quem você está vendo?
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,Ótimo!Espero que você goste do seu homem bem dotado.Eu sou & lt;#& gt;polegadas...
ham,No calls..messages..missed calls,Sem chamadas .. MESSAGENS ... chamadas missadas
ham,Didn't you get hep b immunisation in nigeria.,Você não recebeu imunização Hep B na Nigéria.
ham,"Fair enough, anything going on?","Justo o suficiente, qualquer coisa acontecendo?"
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit","Sim, espero, se Tyler não puder fazer isso, talvez eu possa perguntar um pouco"
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,Você não sabe o quão teimoso eu sou.Eu nem queria ir ao hospital.Fiquei dizendo a Mark que não sou um otário fraco.Os hospitais são para ventosas fracas.
ham,What you thinked about me. First time you saw me in class.,O que você pensa sobre mim.Primeira vez que você me viu na aula.
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;","Um grama geralmente corre como & lt;#& gt;, meio oitavo é mais inteligente e leva quase um segundo grama inteiro para & lt;#& gt;"
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,"K FYI X tem uma carona cedo amanhã de manhã, mas ele está caindo em nossa casa hoje à noite"
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""","Uau.Eu nunca percebi que você estava tão envergonhado por suas acomodações.Eu pensei que você gostou, já que eu estava fazendo o melhor que pude e você sempre parecia tão feliz com a caverna "". Sinto muito por não ter e não ter mais a dar. Sinto muito por ter oferecido. Lamento que seu quarto tenha sido tão embaraçoso""."
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,SMS.AC SPTV: Os Devils de Nova Jersey e o Detroit Red Wings jogam hóquei no gelo.Correto ou incorreto?Fim?Responder final sptv
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,Você sabe o que Mallika Sherawat fez ontem?Descubra agora @ & lt; url & gt;
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ","Parabéns!1 ano de cinema especial para 2 é seu.Ligue para 09061209465 agora!C Superman V, Matrix 3, Star Wars 3, etc, todos os 4 grátis!BX420-IP4-5WE.150:00.Não perca!"
ham,"Sorry, I'll call later in meeting.","Desculpe, ligo mais tarde na reunião."
ham,Tell where you reached,Diga onde você alcançou
ham,Yes..gauti and sehwag out of odi series.,Sim..gauti e Sehwag fora da série ODI.
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,Você terá que pegar um hambúrguer de US $ 1 para si mesmo no seu caminho para casa.Eu nem consigo me mover.A dor está me matando.
ham,Ha ha ha good joke. Girls are situation seekers.,Ha ha boa piada.As meninas são buscadores de situação.
ham,Its a part of checking IQ,É uma parte do QI verificando
ham,"Sorry my roommates took forever, it ok if I come by now?","Desculpe, meus colegas de quarto levaram uma eternidade, tudo bem se eu vier agora?"
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,"Ok, eu verifico o wif da cômoda de cabelo, ele disse que Wun Cut V curto.Ele disse que vai cortar até que eu pareça bonita."
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589","Como cliente valioso, tenho o prazer de aconselhá -lo que, após uma revisão recente do seu."
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""","Hoje é \ Song Dedicated Day .. \ ""Qual música você dedicará para mim? Envie isso a todos os seus amigos valiosos, mas primeiro me responda ..."""
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","Urgente Ur concedido uma viagem gratuita a Eurodisinc Trav, ACO & Entry41 ou Å £ 1000.Para reivindicar txt dis para 87121 18+6*Å £ 1,50 (MoreFrmmob. Shracomorsglsuplt) 10, LS1 3AJ"
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""","Você ouviu falar do novo \ Divorce Barbie \ ""? Ele vem com todas as coisas de Ken!"""
ham,I plane to give on this month end.,Eu avião para dar neste final de mês.
ham,Wah lucky man... Then can save money... Hee...,"Wah, homem de sorte ... então pode economizar dinheiro ... ele ..."
ham,Finished class where are you.,Aula terminada onde você está.
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,"Oi, querida, estou em casa agora quer fazer alguma coisa?Xx"
ham,K..k:)where are you?how did you performed?,K..k :) Onde você está? Como você se apresentou?
ham,U can call me now...,Você pode me ligar agora ...
ham,I am waiting machan. Call me once you free.,Estou esperando Machan.Ligue para mim depois de libertar.
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,Isso é legal.Eu sou um cavalheiro e vou tratá -lo com dignidade e respeito.
ham,I like you peoples very much:) but am very shy pa.,Eu gosto muito de vocês povos :) Mas sou muito tímido pa.
ham,Does not operate after  &lt;#&gt;  or what,Não opera depois de & lt;#& gt;ou o quê
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,Não é o mesmo aqui.Ainda procurando emprego.Quanto o TA ganha lá.
ham,"Sorry, I'll call later","Desculpe, vou ligar mais tarde"
ham,K. Did you call me just now ah? ,K. Você me chamou agora Ah?
ham,Ok i am on the way to home hi hi,Ok estou a caminho de casa oi oi
ham,You will be in the place of that man,Você estará no lugar daquele homem
ham,Yup next stop.,"Sim, próxima parada."
ham,"I call you later, don't have network. If urgnt, sms me.","Eu ligo para você mais tarde, não tenho rede.Se urgnt, me sms."
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,Para real quando você está indo para você?Eu só preciso de mais 2 ingressos e mais uma jaqueta e terminei.Eu já usei todo o meu multis.
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,"Sim, comecei a enviar pedidos para fazer isso, mas a dor voltou, então estou de volta na cama.Coins duplas na fábrica também.Eu tenho dinheiro em todos os meus nitros."
ham,I'm really not up to it still tonight babe,"Eu realmente não estou pronto para isso ainda hoje à noite, baby"
ham,"Ela kano.,il download, come wen ur free..","Ela Kano., Il Download, venha quando você está livre .."
ham,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,"Sim, faça!Não fique de pé para fechar tho- você ÷ ÷ verá alguma coisa!"
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,Desculpe ser uma dor.Tudo bem se encontrarmos outra noite?Passei no final da tarde em vítima e isso significa que não fiz nenhum dos outros stuff42moro e isso inclui todos os meus folhas de tempo e isso.Desculpe.
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,"Sorria de prazer sorrir de dor sorria quando o problema derrama como a chuva, quando Sum1 machuca, você sorri, porque alguém ainda gosta de ver você sorrindo !!"
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,"Ligue para o nosso representante de atendimento ao cliente no 0800 169 6031 entre as 10h às 21h, pois você ganhou um £ 1000 em dinheiro £ ou Å £ 5000 prêmios!"
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,Não planeja comprar mais tarde.Eu verifiquei já o Lido só recebi 530 shows na tarde.Você termina o trabalho já?
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML","Seu toque gratuito está esperando para ser coletado.Basta enviar mensagens de texto para a senha \ mix \ ""para 85069 para verificar. Obtenha Usher e Britney. FML"
ham,Watching telugu movie..wat abt u?,Assistindo filme telugu ... o que você?
ham,i see. When we finish we have loads of loans to pay,"eu vejo.Quando terminamos, temos muitos empréstimos para pagar"
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""","Oi.WK Fui OK - On Hols agora!Sim para uma corrida.Esqueci que eu tenho uma consulta de cabeleireiro às quatro, então preciso chegar em casa e chuveiro antes.Isso causa prob para você? \ ""presunto"""
ham,Please don't text me anymore. I have nothing else to say.,"Por favor, não me envie mais uma mensagem.Não tenho mais nada a dizer."
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,"Ok, nomeie seu preço, desde que seja legal!Wen posso buscá -los?Y u ave x ams xx"
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,Ainda estou procurando um carro para comprar.E ainda não foi para o teste de direção.
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,De acordo com a sua solicitação 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' foi definida como seu callertune para todos os chamadores.Pressione *9 para copiar seus amigos caltune
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.","uau.Você tem razão!Eu não queria fazer isso.Acho que, uma vez que desisti de Boston Men e mudei meu local de pesquisa para Nova York, algo mudou.Porque na minha página de assinatura, ele ainda diz Boston."
ham,Umma my life and vava umma love you lot dear,Umma minha vida e vava umma te amo muito querido
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,Muito obrigado por seus desejos no meu aniversário.Obrigado por tornar meu aniversário verdadeiramente memorável.
ham,"Aight, I'll hit you up when I get some cash","Aight, eu vou te bater quando conseguir algum dinheiro"
ham,How would my ip address test that considering my computer isn't a minecraft server,Como meu endereço IP testaria que considerando meu computador não é um servidor minecraft
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,"Eu sei!Idosos mal -humorados.Minha mãe era como se você fosse melhor não estar mentindo.Então, novamente, eu sempre sou eu a fazer piadas ..."
ham,Dont worry. I guess he's busy.,Não se preocupe.Eu acho que ele está ocupado.
ham,What is the plural of the noun research?,Qual é o plural da pesquisa de substantivo?
ham,Going for dinner.msg you after.,Indo para o jantar.
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,"Eu estou bem wif, porque eu gosto 2 Experimente coisas novas.Mas eu me assustei como Mah.Porque você disse não muito alto."
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,"Gent!Estamos tentando entrar em contato com você.No fim de semana passado, o sorteio mostra que você ganhou um prêmio £ £ 1000 garantido.Ligue para 09064012160. Código de reivindicação K52.Apenas 12 horas válidas.150ppm"
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?","Wa, sua frase de abertura muito formal ... de qualquer maneira, eu também estou bem, eu estou comendo muito n puttin com peso ... haha ... algo especial aconteceu?"
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.","Quando entrei na minha cabine, meu pai disse: '' Feliz B'day Boss !! ''.Eu me senti especial.Ela me perguntou 4 almoço.Depois do almoço, ela me convidou para o apartamento dela.Nós fomos lá."
spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,Você é um vencedor que você foi selecionado especialmente 2 Receber Å £ 1000 ou um feriado de 4* (Flights Inc) Fale com uma reivindicação do operador ao vivo 2 0871277810910p/min (18+)
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,"Goodo!Sim, devemos falar sexta -feira - a proporção de ovo -potato para a tortilha necessária!"
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,"Hmm ... meu tio acabou de me informar que está pagando diretamente à escola.Então, por favor, compre comida."
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,"PRIVADO!Sua declaração de conta de 2004 para 07742676969 mostra 786 pontos de bônus não redimidados.Para reivindicar, ligue 08719180248 Código do identificador: 45239 expira"
spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM","URGENTE!Seu número de celular foi premiado com Å £ 2000 Bonus Caller Prêmio em 9/5/03 Esta é a nossa tentativa final de entrar em contato com você!Ligue do telefone fixo 09064019788 Box42WR29C, 150ppm"
ham,here is my new address -apples&pairs&all that malarky,Aqui está o meu novo endereço -Aples & Pars e tudo o que é malarky
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,"Os números VODAs de hoje que terminam 7548 são selecionados para receber um prêmio de US $ 350.Se você tiver uma correspondência, ligue para 08712300220 Citando o código de reivindicação 4041 App Standard Taxas"
ham,I am going to sao mu today. Will be done only at 12 ,Eu vou para São Mu hoje.Será feito apenas em 12
ham,ÌÏ predict wat time Ì_'ll finish buying?,“Preveja o que o tempo 'vai terminar de comprar?
ham,"Good stuff, will do.","Coisas boas, fará."
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.","Só para que você saiba, Yetunde ainda não enviou dinheiro.Acabei de enviar uma mensagem para não me incomodar em enviar.Então acabou, você não precisa se envolver em nada.Eu não deveria ter impôs nada a você em primeiro lugar, por isso, peço desculpas."
ham,Are you there in room.,Você está lá na sala.
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,"Ei garota.HOW R U?Espero que você esteja bem, um del r bak!Novamente muito tempo sem c!Dê -me um tempo de soma da Lucyxx"
ham,K..k:)how much does it cost?,K..k :) Quanto custa?
ham,I'm home.,Estou em casa.
ham,"Dear, will call Tmorrow.pls accomodate.","Caro, ligará amanhã.PLS acomodar."
ham,First answer my question.,Primeiro responda minha pergunta.
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,"Sunshine Quiz Wkly q!Ganhe um dos melhores jogadores da Sony DVD se você sabe em que país está o Algarve?TXT ANSR a 82277. Å £ 1,50 sp: Tyrone"
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,Quer 2 transar esta noite?Quer locais de cachorrinho reais enviados direto 2 sua multidão?Junte -se à maior rede de Dogging do Reino Unido Bt Txting Cravel a 69888!Nt.EC2A.31p.msg@150p
ham,I only haf msn. It's yijue@hotmail.com,Eu só tenho msn.É yijue@hotmail.com
ham,He is there. You call and meet him,Ele está lá.Você liga e encontrá -lo
ham,No no. I will check all rooms befor activities,Não não.Vou verificar todos os quartos antes das atividades
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,"Você não vai mais RCV MSGS do Chat SVC.Para serviços de hardcore gratuitos, o texto vá para: 69988 se você não conseguir nada, você deve envelhecer com a rede YR e tente novamente"
ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,"Tenho C ... eu preguiçoso para digitar ... esqueci ì_ na aula ... vi uma bolsa, mas como não v legal ..."
ham,"K, text me when you're on the way","K, me mande uma mensagem quando estiver a caminho"
ham,"Sir, Waiting for your mail.","Senhor, esperando seu e -mail."
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""","Um pensamento doce: \ nunca se cansar de fazer pequenas coisas 4 pessoas adoráveis .. \ ""porque às vezes essas pequenas coisas ocupam a maior parte de seus corações .. Gud ni8"""
ham,I know you are. Can you pls open the back?,Eu sei que você é.Você pode abrir as costas?
ham,Yes see ya not on the dot,Sim te vejo não no ponto
ham,Whats the staff name who is taking class for us?,Qual é o nome da equipe que está participando da aula para nós?
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end","Freemsg Por que você não respondeu ao meu texto?Sou Randy, sexy, feminino e morando local.Luv para ouvir de você.NETCOLLEX LTD 08700621170150P POR MSG RESPONSA"
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,"Ummma. ligará após o check -in. Nossa vida começará no Catar, então por favor ore muito."
ham,K..i deleted my contact that why?,K..Eu excluí meu contato que por quê?
ham,Sindu got job in birla soft ..,Sindhu conseguiu emprego em Birlasoft ..
ham,The wine is flowing and i'm i have nevering..,O vinho está fluindo e eu tenho nunca nunca ..
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,"Sim, thk Cine é melhor porque não precisa 2 desça 2 praza mah."
ham,Ok... Ur typical reply...,Ok ... sua resposta típica ...
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,De acordo com a sua solicitação 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' foi definida como seu callertune para todos os chamadores.Pressione *9 para copiar seus amigos caltune
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.","Você está em toda parte sujeira, no chão, nas janelas, mesmo na minha camisa.E às vezes quando abro minha boca, você é tudo o que está fluindo.Eu sonho com o meu mundo sem você, então metade das minhas tarefas também está fora.Um tempo de alegria para mim, muitos programas de TV I.llllllllllll vejo.Mas acho que todas as coisas que você deve existir, como chuva, granizo e névoa, e quando meu tempo aqui terminar, você e eu nos tornamos um."
ham,Aaooooright are you at work?,Aaooooright você está no trabalho?
ham,I'm leaving my house now...,Estou saindo da minha casa agora ...
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,Atendimento ao cliente.Você tem uma entrega de ano novo esperando por você.Ligue para 07046744435 agora para organizar a entrega
spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,Você é um vencedor que você foi selecionado especialmente 2 receber Å £ 1000 em dinheiro ou um feriado de 4* (voos inc) Fale com uma reivindicação do operador ao vivo 2 0871277810810
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,Mantenha -se seguro para mim porque eu preciso de você e já sinto sua falta e invejo a todos que vêem você na vida real
